Country,City,Latitude,Longitude,Disease,Year,Cases
India,Delhi,28.734958444288235,77.10263651941682,Dengue,2010,492
India,Delhi,28.702710158958276,77.10330967545974,Dengue,2011,516
India,Delhi,28.658806790993726,77.10817311814874,Dengue,2012,474
India,Delhi,28.656886543901713,77.07295045331588,Dengue,2013,506
India,Delhi,28.70387983752435,77.10285318257417,Dengue,2014,524
India,Delhi,28.675907210569882,77.14215607090897,Dengue,2015,477
India,Delhi,28.74354457067323,77.14471273822059,Dengue,2016,487
India,Delhi,28.659036152739926,77.10052751733792,Dengue,2017,496
India,Delhi,28.71077442770705,77.09642895134482,Dengue,2018,507
India,Delhi,28.662127853322378,77.13414589776424,Dengue,2019,486
India,Delhi,28.689938784998088,77.08542543625805,Dengue,2020,497
India,Delhi,28.718363279740338,77.0889689051125,Dengue,2021,479
India,Delhi,28.66771602887392,77.1205414191214,Dengue,2022,506
India,Delhi,28.733999161216335,77.07903240124993,Leprosy,2010,507
India,Delhi,28.737744792870537,77.05996817188569,Leprosy,2011,487
India,Delhi,28.655337766505063,77.11426316401955,Leprosy,2012,512
India,Delhi,28.671388334111935,77.0770227103872,Leprosy,2013,470
India,Delhi,28.719508483972483,77.09847518548158,Leprosy,2014,484
India,Delhi,28.65488639190545,77.0942469618124,Leprosy,2015,487
India,Delhi,28.74351829194003,77.10622528259654,Leprosy,2016,503
India,Delhi,28.67455892042059,77.12722364012505,Leprosy,2017,545
India,Delhi,28.705492320426995,77.15189154628798,Leprosy,2018,506
India,Delhi,28.65847107224989,77.10635283859355,Leprosy,2019,464
India,Delhi,28.69087247914793,77.07578565672408,Leprosy,2020,446
India,Delhi,28.736815140546888,77.14359207648403,Leprosy,2021,493
India,Delhi,28.736390146713223,77.07525104940879,Leprosy,2022,524
India,Delhi,28.723959098698607,77.12993606924343,Lymphatic Filariasis,2010,485
India,Delhi,28.687503685976154,77.06257265123709,Lymphatic Filariasis,2011,472
India,Delhi,28.71662760388868,77.12262535749352,Lymphatic Filariasis,2012,519
India,Delhi,28.730650660786324,77.08279533044491,Lymphatic Filariasis,2013,514
India,Delhi,28.742984685725997,77.10218075218435,Lymphatic Filariasis,2014,519
India,Delhi,28.708568561312724,77.08579598248596,Lymphatic Filariasis,2015,491
India,Delhi,28.740462222431436,77.13314802746278,Lymphatic Filariasis,2016,528
India,Delhi,28.69769739494241,77.1369999568538,Lymphatic Filariasis,2017,489
India,Delhi,28.75263288533326,77.13076957008296,Lymphatic Filariasis,2018,487
India,Delhi,28.72579948503788,77.09101140143677,Lymphatic Filariasis,2019,515
India,Delhi,28.670209275554402,77.0778452517417,Lymphatic Filariasis,2020,532
India,Delhi,28.667493473496993,77.07097213759204,Lymphatic Filariasis,2021,469
India,Delhi,28.684492905842415,77.13229869465577,Lymphatic Filariasis,2022,518
India,Delhi,28.736946226907527,77.09209660984217,Schistosomiasis,2010,519
India,Delhi,28.68209655377549,77.12327707065938,Schistosomiasis,2011,501
